@relation beansData

@attribute LENGTH REAL
@attribute BREADTH REAL
@attribute WIDTH REAL
@attribute NAME {BIG_DRUM,SMALL_DRUM,oloyin_beans,MILK_BEANS}

@data
8.41,6.61,6.44,BIG_DRUM
9.56,6.09,6.00,BIG_DRUM
9.48,7.41,6.93,BIG_DRUM
9.75,7.41,7.14,BIG_DRUM
9.17,7.79,6.81,BIG_DRUM
7.20,6.68,6.54,BIG_DRUM
8.55,7.02,6.50,BIG_DRUM
10.31,7.23,7.08,BIG_DRUM
9.81,7.17,7.15,BIG_DRUM
9.17,6.3,6.28,BIG_DRUM
9.71,7.23,7.22,BIG_DRUM
10.38,10.35,6.19,BIG_DRUM
10.09,6.04,5.95,BIG_DRUM
9.04,6.9,6.76,BIG_DRUM
9.46,6.38,6.15,BIG_DRUM
8.92,6.57,6.36,BIG_DRUM
9.42,7.16,6.85,BIG_DRUM
8.62,6.5,6.27,BIG_DRUM
9.99,6.83,6.54,BIG_DRUM
8.47,6.7,6.52,BIG_DRUM
10.25,7.15,7.10,BIG_DRUM
9.03,6.13,5.98,BIG_DRUM
9.21,6.54,6.12,BIG_DRUM
8.35,6.18,5.85,BIG_DRUM
10.11,6.64,6.47,BIG_DRUM
8.52,6.32,6.30,BIG_DRUM
9.41,6.37,6.23,BIG_DRUM
9.26,5.8,5.13,BIG_DRUM
9.63,7.2,7.07,BIG_DRUM
9.12,7.43,6.73,BIG_DRUM
11.28,6.82,6.70,BIG_DRUM
8.65,7.07,6.72,BIG_DRUM
10.81,7.11,6.84,BIG_DRUM
9.03,7.02,6.86,BIG_DRUM
10.63,7.64,6.91,BIG_DRUM
9.39,6.88,6.27,BIG_DRUM
9.08,6.9,6.66,BIG_DRUM
8.56,7.49,5.92,BIG_DRUM
8.55,7.39,6.91,BIG_DRUM
8.82,7.21,6.29,BIG_DRUM
10.11,8.45,6.95,BIG_DRUM
9.16,8.78,6.54,BIG_DRUM
8.66,7.88,6.33,BIG_DRUM
8.75,7.81,6.34,BIG_DRUM
8.68,7.92,6.78,BIG_DRUM
9.18,8.07,6.40,BIG_DRUM
8.21,8.08,6.60,BIG_DRUM
9.56,7.9,6.51,BIG_DRUM
8.46,8.11,6.94,BIG_DRUM
8.55,7.64,6.41,BIG_DRUM
8.37,7.16,6.10,BIG_DRUM
8.58,7.18,6.14,BIG_DRUM
8.33,7.72,6.84,BIG_DRUM
1.08,8.31,7.41,BIG_DRUM
9.30,7.09,6.21,BIG_DRUM
9.23,7.77,6.65,BIG_DRUM
8.34,5.92,5.81,BIG_DRUM
8.72,6.7,5.70,BIG_DRUM
10.07,7.38,7.33,BIG_DRUM
9.02,7.17,6.84,BIG_DRUM
11.17,9.52,8.25,BIG_DRUM
9.17,7.02,6.89,BIG_DRUM
9.50,8.07,7.36,BIG_DRUM
9.65,8.07,7.04,BIG_DRUM
11.06,8.64,7.73,BIG_DRUM
8.90,7.4,6.59,BIG_DRUM
8.45,7.17,6.47,BIG_DRUM
9.83,8.09,7.18,BIG_DRUM
9.37,8.08,7.21,BIG_DRUM
11.63,8.57,7.69,BIG_DRUM
10.63,7.5,6.63,BIG_DRUM
9.91,8.39,6.82,BIG_DRUM
7.76,7,6.29,BIG_DRUM
10.29,8.48,7.51,BIG_DRUM
10.13,8.23,7.22,BIG_DRUM
10.01,7.79,6.74,BIG_DRUM
10.15,7.71,6.52,BIG_DRUM
10.30,7.9,7.13,BIG_DRUM
9.72,7.99,7.28,BIG_DRUM
8.30,7.27,6.90,BIG_DRUM
9.22,7.5,7.07,BIG_DRUM
9.95,8.08,7.07,BIG_DRUM
